,average_covered_charges,average_medicare_payments,average_total_payments,drg_definition,hospital_referral_region_hrr_description,provider_city,provider_id,provider_name,provider_state,provider_street_address,provider_zip_code,total_discharges
0,505030.22,236846.35,279821.43,001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,NY - Manhattan,NEW YORK,330024,MOUNT SINAI HOSPITAL,NY,ONE GUSTAVE L LEVY PLACE,10029,23
1,771758.13,269391.38,283074.31,001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,NY - Bronx,BRONX,330059,MONTEFIORE MEDICAL CENTER,NY,111 EAST 210TH STREET,10467,16
2,1091512.32,297501.18,334808.75,001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,NY - Manhattan,NEW YORK,330101,NEW YORK-PRESBYTERIAN HOSPITAL,NY,525 EAST 68TH STREET,10065,44
3,1781830.21,328005.64,358592.36,001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,NY - White Plains,VALHALLA,330234,WESTCHESTER MEDICAL CENTER,NY,100 WOODS RD,10595,14
4,560964.13,196727.52,267191.74,001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,NY - Rochester,ROCHESTER,330285,STRONG MEMORIAL HOSPITAL,NY,601 ELMWOOD AVE,14642,23
5,431324.34,147895.90,170358.45,"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",NY - Buffalo,BUFFALO,330005,KALEIDA HEALTH,NY,"726 EXCHANGE STREET, SUITE 522",14210,29
6,439921.56,114072.60,135917.62,"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",NY - Albany,ALBANY,330013,ALBANY MEDICAL CENTER HOSPITAL,NY,"43 NEW SCOTLAND AVENUE, MAIL CODE 34",12208,50
7,595817.94,180635.30,224430.67,"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",NY - Manhattan,NEW YORK,330024,MOUNT SINAI HOSPITAL,NY,ONE GUSTAVE L LEVY PLACE,10029,88
8,401134.31,156739.69,164611.62,"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",NY - Manhattan,STATEN ISLAND,330028,RICHMOND UNIVERSITY MEDICAL CENTER,NY,355 BARD AVENUE,10304,13
9,697103.64,159672.36,167055.00,"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",NY - East Long Island,BAY SHORE,330043,SOUTHSIDE HOSPITAL,NY,301 EAST MAIN STREET,11706,11
